EmployeeNumber,Age,Gender,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10035,24,Male,Yes,Travel_Rarely,813,1,3,Medical,1,2,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
10036,43,Female,No,Travel_Rarely,1273,2,2,Medical,1,4,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
10037,50,Male,Yes,Travel_Rarely,869,3,2,Marketing,1,1,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
10038,35,Female,No,Travel_Rarely,890,2,3,Marketing,1,4,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
10039,36,Female,No,Travel_Rarely,852,5,4,Life Sciences,1,2,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
10040,33,Female,No,Travel_Frequently,1141,1,3,Life Sciences,1,3,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
10041,35,Male,No,Travel_Rarely,464,4,2,Other,1,3,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
10042,27,Female,No,Travel_Rarely,1240,2,4,Life Sciences,1,4,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
10043,26,Male,Yes,Travel_Rarely,1357,25,3,Life Sciences,1,1,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
10044,27,Male,No,Travel_Frequently,994,8,3,Life Sciences,1,4,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
10045,30,Female,No,Travel_Frequently,721,1,2,Medical,1,3,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
10046,41,Female,Yes,Travel_Rarely,1360,12,3,Technical Degree,1,2,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
10047,34,Male,No,Non-Travel,1065,23,4,Marketing,1,2,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
10048,37,Male,No,Travel_Rarely,408,19,2,Life Sciences,1,2,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
10049,46,Male,No,Travel_Frequently,1211,5,4,Marketing,1,1,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
10050,35,Male,No,Travel_Rarely,1229,8,1,Life Sciences,1,4,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
10051,48,Male,Yes,Travel_Rarely,626,1,2,Life Sciences,1,1,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
10052,28,Male,Yes,Travel_Rarely,1434,5,4,Technical Degree,1,3,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
10053,44,Female,No,Travel_Rarely,1488,1,5,Marketing,1,2,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
10054,35,Male,No,Non-Travel,1097,11,2,Medical,1,3,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
10055,26,Female,No,Travel_Rarely,1443,23,3,Marketing,1,3,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
10056,33,Female,No,Travel_Frequently,515,1,2,Life Sciences,1,1,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
10057,35,Male,No,Travel_Frequently,853,18,5,Life Sciences,1,2,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
10058,35,Female,No,Travel_Rarely,1142,23,4,Medical,1,3,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
10059,31,Male,No,Travel_Rarely,655,7,4,Life Sciences,1,4,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
10060,37,Male,No,Travel_Rarely,1115,1,4,Life Sciences,1,1,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
10061,32,Male,No,Travel_Rarely,427,1,3,Medical,1,1,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
10062,38,Female,No,Travel_Frequently,653,29,5,Life Sciences,1,4,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
10063,50,Female,No,Travel_Rarely,989,7,2,Medical,1,2,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
10064,59,Female,No,Travel_Rarely,1435,25,3,Life Sciences,1,1,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
10065,36,Female,No,Travel_Rarely,1223,8,3,Technical Degree,1,3,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
10066,55,Female,No,Travel_Rarely,836,8,3,Medical,1,4,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
10067,36,Male,No,Travel_Frequently,1195,11,3,Life Sciences,1,2,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
10068,45,Male,No,Travel_Rarely,1339,7,3,Life Sciences,1,2,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
10069,35,Male,No,Travel_Frequently,664,1,3,Medical,1,2,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
10070,36,Male,Yes,Travel_Rarely,318,9,3,Medical,1,4,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
10071,59,Female,No,Travel_Frequently,1225,1,1,Life Sciences,1,1,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
10072,29,Male,No,Travel_Rarely,1328,2,3,Life Sciences,1,3,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
10073,31,Male,No,Travel_Rarely,1082,1,4,Medical,1,3,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
10074,32,Male,No,Travel_Rarely,548,1,3,Life Sciences,1,2,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
10075,36,Female,No,Travel_Rarely,132,6,3,Life Sciences,1,2,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
10076,31,Female,No,Travel_Rarely,746,8,4,Life Sciences,1,3,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
10077,35,Male,No,Travel_Rarely,776,1,4,Marketing,1,3,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
10078,45,Male,No,Travel_Rarely,193,6,4,Other,1,4,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
10079,37,Male,No,Travel_Rarely,397,7,4,Medical,1,1,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
10080,46,Male,No,Travel_Rarely,945,5,2,Medical,1,2,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
10081,30,Male,No,Travel_Rarely,852,1,1,Life Sciences,1,4,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
10082,35,Male,No,Travel_Rarely,1214,1,3,Medical,1,2,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
10083,55,Male,No,Travel_Rarely,111,1,2,Life Sciences,1,1,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
10084,38,Female,No,Non-Travel,573,6,3,Medical,1,2,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
10085,34,Male,No,Travel_Rarely,1153,1,2,Medical,1,1,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
10086,56,Male,No,Travel_Rarely,1400,7,3,Life Sciences,1,4,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
10087,23,Male,No,Travel_Rarely,541,2,1,Technical Degree,1,3,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
10088,51,Male,No,Travel_Rarely,432,9,4,Life Sciences,1,4,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
10089,30,Male,No,Travel_Rarely,288,2,3,Life Sciences,1,3,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
10090,46,Male,Yes,Travel_Rarely,669,9,2,Medical,1,3,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
10091,40,Male,No,Travel_Frequently,530,1,4,Life Sciences,1,3,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
10092,51,Male,No,Travel_Rarely,632,21,4,Marketing,1,3,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
10093,30,Female,No,Travel_Rarely,1334,4,2,Medical,1,3,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
10094,46,Male,No,Travel_Frequently,638,1,3,Medical,1,3,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
10095,32,Male,No,Travel_Rarely,1093,6,4,Medical,1,2,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
10096,54,Female,No,Travel_Rarely,1217,2,4,Technical Degree,1,1,60,3,3,Research Director,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
10097,24,Female,No,Travel_Rarely,1353,3,2,Other,1,1,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
10098,28,Male,No,Non-Travel,120,4,3,Medical,1,2,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
10099,58,Male,No,Travel_Rarely,682,10,4,Medical,1,4,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
10100,44,Male,No,Non-Travel,489,23,3,Medical,1,2,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
10101,37,Male,Yes,Travel_Rarely,807,6,4,Human Resources,1,3,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
10102,32,Male,No,Travel_Rarely,827,1,1,Life Sciences,1,4,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
10103,20,Female,Yes,Travel_Frequently,871,6,3,Life Sciences,1,4,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
10104,34,Female,No,Travel_Rarely,665,6,4,Other,1,1,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
10105,37,Male,No,Non-Travel,1040,2,2,Life Sciences,1,3,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
10106,59,Female,No,Non-Travel,1420,2,4,Human Resources,1,3,32,2,5,Manager,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
10107,50,Female,No,Travel_Frequently,1115,1,3,Life Sciences,1,1,73,3,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
10108,25,Male,Yes,Travel_Rarely,240,5,3,Marketing,1,3,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
10109,25,Male,No,Travel_Rarely,1280,7,1,Medical,1,4,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
10110,22,Female,No,Travel_Rarely,534,15,3,Medical,1,2,59,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
10111,51,Female,No,Travel_Frequently,1456,1,4,Medical,1,1,30,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
10112,34,Male,Yes,Travel_Frequently,658,7,3,Life Sciences,1,1,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
10113,54,Female,No,Non-Travel,142,26,3,Human Resources,1,4,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
10114,24,Male,No,Travel_Rarely,1127,18,1,Life Sciences,1,2,52,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
10115,34,Female,No,Travel_Rarely,1031,6,4,Life Sciences,1,3,45,2,2,Research Scientist,2,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
10116,37,Male,No,Travel_Rarely,1189,3,3,Life Sciences,1,3,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
10117,34,Female,No,Travel_Rarely,1354,5,3,Medical,1,3,45,2,3,Manager,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
10118,36,Female,No,Travel_Frequently,1467,11,2,Technical Degree,1,2,92,3,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
10119,36,Female,No,Travel_Rarely,922,3,2,Life Sciences,1,1,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
10120,43,Male,No,Travel_Frequently,394,26,2,Life Sciences,1,3,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
10121,30,Male,No,Travel_Frequently,1312,23,3,Life Sciences,1,1,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
10122,33,Male,No,Non-Travel,750,22,2,Marketing,1,3,95,3,2,Sales Executive,2,Married,6146,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
10123,56,Female,Yes,Travel_Rarely,441,14,4,Life Sciences,1,2,72,3,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
10124,51,Male,No,Travel_Rarely,684,6,3,Life Sciences,1,1,51,3,5,Research Director,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
10125,31,Male,Yes,Travel_Rarely,249,6,4,Life Sciences,1,2,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7
10126,26,Female,No,Travel_Rarely,841,6,3,Other,1,3,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3
10127,58,Female,Yes,Travel_Rarely,147,23,4,Medical,1,4,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6
10128,19,Male,Yes,Travel_Rarely,528,22,1,Marketing,1,4,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
10129,22,Male,No,Travel_Rarely,594,2,1,Technical Degree,1,3,100,3,1,Laboratory Technician,4,Married,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
10130,49,Female,No,Travel_Rarely,470,20,4,Medical,1,3,96,3,2,Manufacturing Director,1,Married,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
10131,43,Female,No,Travel_Frequently,957,28,3,Medical,1,2,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
10132,50,Female,No,Travel_Frequently,809,12,3,Marketing,1,3,77,3,3,Sales Executive,4,Single,9208,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1
10133,31,Female,Yes,Travel_Rarely,542,20,3,Life Sciences,1,2,71,1,2,Sales Executive,3,Married,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2
10134,41,Male,No,Travel_Rarely,802,9,1,Life Sciences,1,3,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
10135,26,Female,No,Travel_Rarely,1355,25,1,Life Sciences,1,3,61,3,1,Human Resources,3,Married,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
10136,36,Male,No,Travel_Rarely,216,6,2,Medical,1,2,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1
10137,51,Male,Yes,Travel_Frequently,1150,8,4,Life Sciences,1,1,53,1,3,Manufacturing Director,4,Single,10650,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3
10138,39,Female,No,Travel_Rarely,1329,4,4,Life Sciences,1,4,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
10139,25,Male,No,Travel_Rarely,959,28,3,Life Sciences,1,1,41,2,2,Sales Executive,3,Married,8639,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2
10140,30,Male,No,Travel_Rarely,1240,9,3,Human Resources,1,3,48,3,2,Human Resources,4,Married,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7
10141,32,Female,Yes,Travel_Rarely,1033,9,3,Medical,1,1,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4
10142,45,Male,No,Travel_Rarely,1316,29,3,Medical,1,3,83,3,1,Research Scientist,4,Single,3452,9752,5,Y,No,13,3,2,80,0,9,2,2,6,5,0,3
10143,38,Female,No,Travel_Rarely,364,3,5,Technical Degree,1,4,32,3,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2
10144,30,Female,No,Travel_Rarely,438,18,3,Life Sciences,1,1,75,3,1,Research Scientist,3,Single,2632,23910,1,Y,No,14,3,3,80,0,5,4,2,5,4,0,4
10145,32,Male,No,Travel_Frequently,689,9,2,Medical,1,4,35,1,2,Sales Executive,4,Divorced,4668,22812,0,Y,No,17,3,4,80,3,9,2,4,8,7,0,7
10146,30,Female,No,Travel_Rarely,201,5,3,Technical Degree,1,4,84,3,1,Research Scientist,1,Divorced,3204,10415,5,Y,No,14,3,4,80,1,8,3,3,3,2,2,2
